date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,population,population_density,aged_65_older,aged_70_older,median_age
2020-01-30,1.0,1.0,,,0.001,0.001,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-01-31,1.0,0.0,,,0.001,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-01,1.0,0.0,,,0.001,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-02,2.0,1.0,,,0.001,0.001,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-03,3.0,1.0,,,0.002,0.001,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-04,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-05,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-06,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-07,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-08,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-09,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-10,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-11,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-12,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-13,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-14,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-02-15,3.0,0.0,,,0.002,0.0,,,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
