date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,population,population_density,aged_65_older,aged_70_older,median_age
2020-03-25,657.0,121.0,12.0,2.0,0.472,0.087,0.009,0.001,4280.0,25144.0,0.018,0.003,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-26,727.0,70.0,20.0,8.0,0.522,0.05,0.014,0.006,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-27,887.0,160.0,20.0,0.0,0.637,0.115,0.014,0.0,,27688.0,0.02,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-28,987.0,100.0,24.0,4.0,0.708,0.072,0.017,0.003,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-29,1024.0,37.0,27.0,3.0,0.735,0.027,0.019,0.002,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-30,1251.0,227.0,32.0,5.0,0.898,0.163,0.023,0.004,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-03-31,1397.0,146.0,35.0,3.0,1.003,0.105,0.025,0.002,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-01,1998.0,601.0,58.0,23.0,1.434,0.431,0.042,0.017,,,,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-02,2543.0,545.0,72.0,14.0,1.825,0.391,0.052,0.01,,47951.0,0.034,,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-03,2567.0,24.0,72.0,0.0,1.842,0.017,0.052,0.0,21294.0,69245.0,0.05,0.015,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-04,3082.0,515.0,86.0,14.0,2.212,0.37,0.062,0.01,10705.0,79950.0,0.057,0.008,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-05,3588.0,506.0,99.0,13.0,2.575,0.363,0.071,0.009,9584.0,89534.0,0.064,0.007,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-06,4778.0,1190.0,136.0,37.0,3.429,0.854,0.098,0.027,11534.0,101068.0,0.073,0.008,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-07,5311.0,533.0,150.0,14.0,3.812,0.383,0.108,0.01,12947.0,114015.0,0.082,0.009,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-08,5916.0,605.0,178.0,28.0,4.246,0.434,0.128,0.02,13904.0,127919.0,0.092,0.01,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
2020-04-09,6725.0,809.0,226.0,48.0,4.826,0.581,0.162,0.034,16991.0,144910.0,0.104,0.012,,,,,,,,,,,1393409033.0,450.419,5.989,3.414,28.2
